,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,no_messages,diversity,diversity_bin,time,high_performance,female_majority,revise_score,full_credit,half_credit,task,task_numeric
49,0.4312796208530806,0.20399305555555555,0.6523478031158447,4,2.275,0.5765957446808511,0.25,48,3,1,1140,0,1,0.0,0,0,candidate,2
50,0.4864864864864865,0.21046373365041618,1.6094378232955933,7,3.6,0.6892655367231638,0.14285714285714285,29,2,0,413,0,1,0.5,0,0,PartyVenue,1
51,0.5155656795747912,0.24385902456390174,1.3233705759048462,22,3.446700507614213,0.6638686131386862,0.045454545454545456,106,4,1,1306,0,0,0.0,0,0,candidate,2
52,0.5,0.29327781082688875,0.8113056421279907,4,2.404255319148936,0.6612576064908722,0.25,41,3,1,369,1,1,1.5,0,1,PartyVenue,1
53,0.4170182841068917,0.21997621878715815,0.8324761986732483,9,2.410569105691057,0.5777027027027027,0.1111111111111111,116,3,1,1644,1,0,1.75,0,1,candidate,2
54,0.2992125984251969,0.21256391526661797,0.0,2,2.0,0.6254295532646048,0.5,37,3,1,698,0,1,0.0,0,0,Professor,0
55,0.32113821138211385,0.1747448979591837,0.39603304862976074,3,2.135135135135135,0.6204379562043796,0.3333333333333333,56,3,1,637,0,1,0.0,0,0,candidate,2
56,0.6060606060606061,0.25925925925925924,0.5297061800956726,3,2.2222222222222223,0.8333333333333334,0.3333333333333333,18,2,0,504,0,1,0.0,0,0,candidate,2
57,0.5916334661354582,0.2688334593096498,0.9598749279975891,6,2.516949152542373,0.8153701968134958,0.16666666666666666,63,3,1,912,0,0,0.0,0,0,PartyVenue,1
58,0.6597938144329897,0.23413111342351717,0.7657827138900757,6,2.4615384615384617,0.8577777777777778,0.16666666666666666,31,1,0,567,0,0,0.0,0,0,Professor,0
59,0.7959183673469388,0.2698412698412698,1.30387544631958,6,3.0,0.9243697478991597,0.16666666666666666,21,3,1,731,0,1,0.0,0,0,candidate,2
60,0.3575949367088608,0.19850617638609594,0.45773065090179443,5,2.173076923076923,0.5586107091172214,0.2,59,3,1,350,0,1,0.0,0,0,PartyVenue,1
61,0.327683615819209,0.17447916666666666,0.5857831239700317,4,2.230769230769231,0.6144278606965174,0.25,48,1,0,894,0,1,0.0,0,0,candidate,2
62,0.5074626865671642,0.22085048010973937,1.0317671298980713,5,2.6153846153846154,0.5962732919254659,0.2,27,2,0,487,0,0,0.0,0,0,candidate,2
63,0.4764930114358323,0.22961937716262976,0.8694430589675903,7,2.435064935064935,0.6377335744424352,0.14285714285714285,85,3,1,610,0,1,0.0,0,0,PartyVenue,1
