,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority,revise_score,full_credit,half_credit
54,0.38831615120274915,0.21256391526661797,0.11924692988395691,37,2.8974358974358974,0.6254295532646048,0.02702702702702703,3,0,1,0.0,0,0
55,0.3695652173913043,0.16409036860879905,0.3624112010002136,58,2.8732394366197185,0.5996376811594203,0.017241379310344827,3,0,1,0.0,0,0
56,0.6904761904761905,0.25925925925925924,0.708018958568573,18,3.0526315789473686,0.8333333333333334,0.05555555555555555,2,0,1,0.0,0,0
57,0.6157450796626054,0.2688334593096498,0.9831072688102722,63,2.7721518987341773,0.8153701968134958,0.015873015873015872,3,0,0,0.0,0,0
58,0.6283185840707964,0.220703125,0.6909415125846863,32,2.8979591836734695,0.8008849557522124,0.03125,1,0,0,0.0,0,0
59,0.8319327731092437,0.2698412698412698,1.4139944314956665,21,3.6666666666666665,0.9243697478991597,0.047619047619047616,3,0,1,0.0,0,0
60,0.3988439306358382,0.1922222222222222,0.4714966118335724,60,2.732673267326733,0.5578034682080925,0.016666666666666666,3,0,1,0.0,0,0
61,0.4079601990049751,0.17447916666666666,0.6683306097984314,48,3.0943396226415096,0.6144278606965174,0.020833333333333332,1,0,1,0.0,0,0
62,0.5900621118012422,0.22085048010973937,1.1519640684127808,27,3.5185185185185186,0.5962732919254659,0.037037037037037035,2,0,0,0.0,0,0
63,0.5033152501506932,0.22961937716262976,0.8884149193763733,85,2.7022653721682848,0.6377335744424352,0.011764705882352941,3,0,1,0.0,0,0
64,0.4723926380368098,0.2608,1.096463680267334,25,3.6666666666666665,0.6441717791411042,0.04,2,0,1,0.0,0,0
65,0.49375,0.18140589569160998,0.6683306097984314,42,2.981132075471698,0.6,0.023809523809523808,2,0,1,0.0,0,0
66,0.3765432098765432,0.16735537190082644,0.5385898351669312,44,3.2972972972972974,0.5339506172839507,0.022727272727272728,3,0,1,0.0,0,0
67,0.5421303656597775,0.20793388429752066,1.2525858879089355,55,3.376237623762376,0.6581875993640699,0.01818181818181818,1,0,1,0.0,0,0
68,0.7,0.24574669187145556,1.4127089977264404,46,3.466666666666667,0.8346153846153846,0.021739130434782608,4,1,0,1.0,0,1
69,0.5866666666666667,0.22189349112426035,0.651658296585083,26,3.0344827586206895,0.6733333333333333,0.038461538461538464,2,0,1,0.0,0,0
70,0.4398034398034398,0.20098765432098764,0.8725205063819885,45,3.1403508771929824,0.5601965601965602,0.022222222222222223,2,1,0,2.0,1,1
71,0.47019867549668876,0.20713305898491083,0.1788448989391327,27,3.0869565217391304,0.5165562913907285,0.037037037037037035,2,0,1,0.0,0,0
72,0.8108108108108109,0.2890625,1.0102100372314453,16,3.1578947368421053,0.9864864864864865,0.0625,2,0,1,0.0,0,0
73,0.48,0.2222222222222222,0.8827614784240723,30,3.310344827586207,0.7,0.03333333333333333,3,0,1,0.0,0,0
74,0.4552893045002922,0.23681660899653978,0.9853754043579102,85,2.8327272727272725,0.5955581531268265,0.011764705882352941,3,0,1,0.0,0,0
75,0.40625,0.19753086419753085,0.6365141868591309,18,8.666666666666666,0.34375,0.05555555555555555,2,0,1,0.0,0,0
76,0.49232046492320464,0.25299306868304977,0.8646973371505737,138,2.56988082340195,0.6481942714819428,0.007246376811594203,3,0,0,0.0,0,0
77,0.574869109947644,0.2566514377855415,1.223284125328064,61,3.1016949152542375,0.7329842931937173,0.01639344262295082,2,0,1,0.0,0,0
78,0.5195369030390738,0.2284297520661157,0.993847668170929,55,2.9669421487603307,0.7322720694645442,0.01818181818181818,2,0,1,0.0,0,0
79,0.7121212121212122,0.24037460978147762,1.2716412544250488,62,3.118483412322275,0.8809523809523809,0.016129032258064516,4,0,1,0.125,0,0
80,0.40228945216680295,0.20214876033057852,0.9020891189575195,110,2.7563025210084033,0.5408830744071954,0.00909090909090909,4,0,0,0.0,0,0
81,0.6551724137931034,0.2396694214876033,0.7113863825798035,22,3.04,0.6120689655172413,0.045454545454545456,2,0,0,0.0,0,0
82,0.516260162601626,0.1819526627218935,0.8855711221694946,52,2.988235294117647,0.6097560975609756,0.019230769230769232,3,0,0,0.0,0,0
83,0.7391304347826086,0.2839506172839506,0.5004023909568787,9,3.4,0.782608695652174,0.1111111111111111,3,0,0,0.0,0,0
84,0.7421142369991475,0.3610341643582641,1.463897943496704,114,3.288007554296506,0.8725490196078431,0.008771929824561403,2,1,0,2.0,1,1
85,0.6923076923076923,0.2520775623268698,1.202278733253479,19,3.7058823529411766,0.8791208791208791,0.05263157894736842,3,0,1,0.0,0,0
86,0.5535872453498671,0.23713505566057552,0.7926561832427979,69,2.6371308016877637,0.7564216120460585,0.014492753623188406,3,0,0,0.0,0,0
87,0.6,0.21270914916340333,1.5108097791671753,106,3.6120906801007555,0.7108786610878661,0.009433962264150943,4,0,1,0.0,0,0
88,0.5555555555555556,0.36,0.0,5,5.0,0.8888888888888888,0.2,3,0,0,0.0,0,0
89,0.5449620801733478,0.27453896490184415,1.2449063062667847,82,3.076452599388379,0.6863488624052004,0.012195121951219513,3,1,0,1.0,0,1
90,0.4910040626813697,0.22411550468262226,0.8566027283668518,124,2.6070878274268106,0.6149158444573418,0.008064516129032258,2,0,1,0.0,0,0
91,0.4911242603550296,0.19160997732426305,0.6370980739593506,42,2.912280701754386,0.665680473372781,0.023809523809523808,2,0,1,0.0,0,0
92,0.4032258064516129,0.25761772853185594,0.6367833614349365,38,2.9411764705882355,0.5376344086021505,0.02631578947368421,3,1,1,1.75,0,1
