,task_x,team_id,mellon_id,Primary code ,revise_score,high_performance
255,apartment,181900_194656_181041_178642,194656,SESU,1.0,1
256,apartment,181900_194656_181041_178642,194656,SSI,1.0,1
257,apartment,181900_194656_181041_178642,194656,SSI,1.0,1
258,apartment,181900_194656_181041_178642,194656,SSI,1.0,1
259,apartment,181900_194656_181041_178642,194656,SSI,1.0,1
260,apartment,181900_194656_181041_178642,194656,SESU,1.0,1
261,apartment,181900_194656_181041_178642,194656,SESU,1.0,1
262,apartment,181900_194656_181041_178642,194656,SSI,1.0,1
263,apartment,181900_194656_181041_178642,194656,CE,1.0,1
264,apartment,181900_194656_181041_178642,194656,SSI,1.0,1
265,apartment,181900_194656_181041_178642,194656,SN,1.0,1
266,apartment,181900_194656_181041_178642,194656,SN,1.0,1
267,apartment,181900_194656_181041_178642,181041,SMC,1.0,1
268,apartment,181900_194656_181041_178642,181041,SSI,1.0,1
269,apartment,181900_194656_181041_178642,181041,SSI,1.0,1
270,apartment,181900_194656_181041_178642,181041,SSI,1.0,1
271,apartment,181900_194656_181041_178642,181041,SSI,1.0,1
272,apartment,181900_194656_181041_178642,181041,CM,1.0,1
273,apartment,181900_194656_181041_178642,181041,SN,1.0,1
274,apartment,181900_194656_181041_178642,178642,SMC,1.0,1
275,apartment,181900_194656_181041_178642,178642,SSI,1.0,1
276,apartment,181900_194656_181041_178642,178642,SSI,1.0,1
277,apartment,181900_194656_181041_178642,178642,CRF,1.0,1
278,apartment,181900_194656_181041_178642,178642,SESU,1.0,1
279,apartment,181900_194656_181041_178642,178642,SSI,1.0,1
280,apartment,181900_194656_181041_178642,178642,SSI,1.0,1
281,apartment,181900_194656_181041_178642,178642,SN,1.0,1
282,candidate,185836_198007_197446_170246,197446,SMC,0.0,0
283,candidate,185836_198007_197446_170246,197446,SMC,0.0,0
284,candidate,185836_198007_197446_170246,197446,SMC,0.0,0
285,candidate,185836_198007_197446_170246,197446,SMC,0.0,0
286,candidate,185836_198007_197446_170246,197446,SMC,0.0,0
287,candidate,185836_198007_197446_170246,197446,SMC,0.0,0
288,candidate,185836_198007_197446_170246,197446,SMC,0.0,0
289,candidate,185836_198007_197446_170246,197446,SMC,0.0,0
290,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
291,candidate,185836_198007_197446_170246,197446,SMC,0.0,0
292,candidate,185836_198007_197446_170246,197446,CRF,0.0,0
293,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
294,candidate,185836_198007_197446_170246,197446,CM,0.0,0
295,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
296,candidate,185836_198007_197446_170246,197446,SESU,0.0,0
297,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
298,candidate,185836_198007_197446_170246,197446,SN,0.0,0
299,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
300,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
301,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
302,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
303,candidate,185836_198007_197446_170246,197446,SESU,0.0,0
304,candidate,185836_198007_197446_170246,197446,SESU,0.0,0
305,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
306,candidate,185836_198007_197446_170246,197446,SESU,0.0,0
307,candidate,185836_198007_197446_170246,197446,SESU,0.0,0
308,candidate,185836_198007_197446_170246,197446,CRF,0.0,0
309,candidate,185836_198007_197446_170246,197446,CP,0.0,0
310,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
311,candidate,185836_198007_197446_170246,197446,SSI,0.0,0
312,candidate,185836_198007_197446_170246,197446,SN,0.0,0
313,candidate,185836_198007_197446_170246,197446,CM,0.0,0
314,candidate,185836_198007_197446_170246,197446,SMC,0.0,0
315,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
316,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
317,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
318,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
319,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
320,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
321,candidate,185836_198007_197446_170246,170246,CM,0.0,0
322,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
323,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
324,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
325,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
326,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
327,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
328,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
329,candidate,185836_198007_197446_170246,170246,CRF,0.0,0
330,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
331,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
332,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
333,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
334,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
335,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
336,candidate,185836_198007_197446_170246,170246,CM,0.0,0
337,candidate,185836_198007_197446_170246,170246,CRF,0.0,0
338,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
339,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
340,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
341,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
342,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
343,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
344,candidate,185836_198007_197446_170246,170246,SN,0.0,0
345,candidate,185836_198007_197446_170246,170246,CM,0.0,0
346,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
347,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
348,candidate,185836_198007_197446_170246,170246,CE,0.0,0
349,candidate,185836_198007_197446_170246,170246,CE,0.0,0
350,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
351,candidate,185836_198007_197446_170246,170246,CE,0.0,0
352,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
353,candidate,185836_198007_197446_170246,170246,CRF,0.0,0
354,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
355,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
356,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
357,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
358,candidate,185836_198007_197446_170246,170246,SN,0.0,0
359,candidate,185836_198007_197446_170246,170246,CE,0.0,0
360,candidate,185836_198007_197446_170246,170246,CE,0.0,0
361,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
362,candidate,185836_198007_197446_170246,170246,CE,0.0,0
