,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority,full_credit,half_credit,revise_score
37,0.52,0.1953125,0.6365141868591309,16,8.666666666666666,0.0,0.0625,2,0,1,0,0,0.0
38,0.2607594936708861,0.23497917906008328,0.501046895980835,41,4.904761904761905,0.26582278481012656,0.024390243902439025,3,0,0,0,0,0.0
39,0.18329466357308585,0.23309897241752298,1.1685184240341187,43,7.181818181818182,0.10440835266821345,0.023255813953488372,3,0,0,0,0,0.0
40,0.3157894736842105,0.3140495867768595,0.8486855030059814,22,5.333333333333333,0.3618421052631579,0.045454545454545456,3,1,0,0,1,1.0
41,0.1864754098360656,0.23828125,0.44711458683013916,64,4.666666666666667,0.319672131147541,0.015625,2,0,0,0,0,0.0
42,0.44763792533861907,0.3354016620498615,1.3786081075668335,95,4.301587301587301,0.6841757515692104,0.010526315789473684,2,1,1,0,1,1.75
43,0.18191056910569106,0.23251417769376181,0.9834526181221008,92,4.64935064935065,0.20477642276422764,0.010869565217391304,3,1,1,0,1,1.0
44,0.2046783625730994,0.19,0.4195559024810791,60,5.185185185185185,0.2324561403508772,0.016666666666666666,2,0,0,0,0,0.0
45,0.2950391644908616,0.31265306122448977,0.7077859044075012,35,4.52,0.48825065274151436,0.02857142857142857,2,0,1,0,0,0.0
46,0.17120954003407154,0.2547743055555556,0.7723438739776611,96,4.32258064516129,0.3658432708688245,0.010416666666666666,2,0,1,0,0,0.0
47,0.26108374384236455,0.21123829344432882,0.9556998610496521,31,7.571428571428571,0.0,0.03225806451612903,2,0,1,0,0,0.0
48,0.17186963979416808,0.2546073892916412,0.6788477301597595,107,4.140495867768595,0.1934819897084048,0.009345794392523364,3,1,0,0,1,1.0
49,0.17446808510638298,0.20399305555555555,0.9164649248123169,48,7.454545454545454,0.07021276595744681,0.020833333333333332,3,0,1,0,0,0.0
50,0.2696629213483146,0.19777777777777777,0.4101163148880005,30,6.857142857142857,0.3539325842696629,0.03333333333333333,2,0,1,0,0,0.5
51,0.3357664233576642,0.24385902456390174,1.5759918689727783,106,4.919786096256685,0.5299270072992701,0.009433962264150943,4,0,0,0,0,0.0
52,0.22515212981744423,0.29327781082688875,0.6323694586753845,41,4.826086956521739,0.4462474645030426,0.024390243902439025,3,1,1,0,1,1.5
53,0.20135135135135135,0.21997621878715815,0.677921712398529,116,4.054421768707483,0.3912162162162162,0.008620689655172414,3,1,0,0,1,1.75
54,0.17525773195876287,0.21256391526661797,1.0549201965332031,37,10.2,0.07216494845360824,0.02702702702702703,3,0,1,0,0,0.0
55,0.15579710144927536,0.16409036860879905,0.9649629592895508,58,9.555555555555555,0.06521739130434782,0.017241379310344827,3,0,1,0,0,0.0
56,0.2857142857142857,0.25925925925925924,0.6365141868591309,18,8.0,0.0,0.05555555555555555,2,0,1,0,0,0.0
57,0.21649484536082475,0.2688334593096498,0.8420665860176086,63,4.529411764705882,0.21087160262417995,0.015873015873015872,3,0,0,0,0,0.0
58,0.23008849557522124,0.220703125,1.0549201965332031,32,10.4,0.1592920353982301,0.03125,1,0,0,0,0,0.0
59,0.42857142857142855,0.2698412698412698,0.4101163148880005,21,7.285714285714286,0.0,0.047619047619047616,3,0,1,0,0,0.0
60,0.1791907514450867,0.1922222222222222,1.0937705039978027,60,6.526315789473684,0.0,0.016666666666666666,3,0,1,0,0,0.0
61,0.19900497512437812,0.17447916666666666,0.7595473527908325,48,7.2727272727272725,0.06716417910447761,0.020833333333333332,1,0,1,0,0,0.0
62,0.2422360248447205,0.22085048010973937,0.5004023909568787,27,7.8,0.13043478260869565,0.037037037037037035,2,0,0,0,0,0.0
63,0.21518987341772153,0.22961937716262976,0.7680413126945496,85,4.301204819277109,0.4231464737793852,0.011764705882352941,3,0,1,0,0,0.0
64,0.2147239263803681,0.2608,0.6365141868591309,25,11.666666666666666,0.1656441717791411,0.04,2,0,1,0,0,0.0
65,0.1875,0.18140589569160998,0.4101163148880005,42,8.571428571428571,0.075,0.023809523809523808,2,0,1,0,0,0.0
66,0.19135802469135801,0.16735537190082644,0.4101163148880005,44,8.857142857142858,0.13580246913580246,0.022727272727272728,3,0,1,0,0,0.0
67,0.2655007949125596,0.20793388429752066,1.0087695121765137,55,5.0606060606060606,0.3799682034976153,0.01818181818181818,1,0,1,0,0,0.0
68,0.21153846153846154,0.24574669187145556,0.6680178046226501,46,5.238095238095238,0.25576923076923075,0.021739130434782608,4,1,0,0,1,1.0
69,0.25333333333333335,0.22189349112426035,0.5004023909568787,26,7.6,0.0,0.038461538461538464,2,0,1,0,0,0.0
70,0.20393120393120392,0.20098765432098764,0.6870920062065125,45,6.384615384615385,0.07371007371007371,0.022222222222222223,2,1,0,1,1,2.0
71,0.17880794701986755,0.20713305898491083,0.0,27,27.0,0.0,0.037037037037037035,2,0,1,0,0,0.0
72,0.2972972972972973,0.2890625,0.6365141868591309,16,7.333333333333333,0.0,0.0625,2,0,1,0,0,0.0
73,0.27,0.2222222222222222,0.34883207082748413,30,6.0,0.455,0.03333333333333333,3,0,1,0,0,0.0
74,0.1946230274693162,0.23681660899653978,0.5602155327796936,85,4.215189873417722,0.34015195791934544,0.011764705882352941,3,0,1,0,0,0.0
75,0.375,0.19753086419753085,0.6365141868591309,18,8.0,0.1875,0.05555555555555555,2,0,1,0,0,0.0
76,0.18970527189705272,0.25299306868304977,0.9811573028564453,138,4.135746606334842,0.32918223329182233,0.007246376811594203,3,0,0,0,0,0.0
77,0.23350785340314137,0.2566514377855415,0.8162096738815308,61,4.551020408163265,0.5026178010471204,0.01639344262295082,2,0,1,0,0,0.0
78,0.16353111432706222,0.2284297520661157,0.708018958568573,55,5.947368421052632,0.0955137481910275,0.01818181818181818,2,0,1,0,0,0.0
79,0.35714285714285715,0.24037460978147762,1.271375060081482,62,4.782608695652174,0.4329004329004329,0.016129032258064516,4,0,1,0,0,0.125
80,0.15208503679476695,0.20214876033057852,0.5685349106788635,110,4.481927710843373,0.29844644317252655,0.00909090909090909,4,0,0,0,0,0.0
81,0.3620689655172414,0.2396694214876033,0.9556998610496521,22,6.0,0.47413793103448276,0.045454545454545456,2,0,0,0,0,0.0
82,0.1951219512195122,0.1819526627218935,1.2047933340072632,52,7.384615384615385,0.3048780487804878,0.019230769230769232,3,0,0,0,0,0.0
