,Unnamed: 0,Unnamed: 0.1,task_x,team_id,mellon_id,Primary code ,revise_score,high_performance,female_members,female_maj,gender,ethnicity
257,257,257,apartment,181900_194656_181041_178642,194656,SSI,1.0,1,3,1,M,Hispanic
258,258,258,apartment,181900_194656_181041_178642,194656,SSI,1.0,1,3,1,M,Hispanic
259,259,259,apartment,181900_194656_181041_178642,194656,SSI,1.0,1,3,1,M,Hispanic
260,260,260,apartment,181900_194656_181041_178642,194656,SESU,1.0,1,3,1,M,Hispanic
261,261,261,apartment,181900_194656_181041_178642,194656,SESU,1.0,1,3,1,M,Hispanic
262,262,262,apartment,181900_194656_181041_178642,194656,SSI,1.0,1,3,1,M,Hispanic
263,263,263,apartment,181900_194656_181041_178642,194656,CE,1.0,1,3,1,M,Hispanic
264,264,264,apartment,181900_194656_181041_178642,194656,SSI,1.0,1,3,1,M,Hispanic
265,265,265,apartment,181900_194656_181041_178642,194656,SN,1.0,1,3,1,M,Hispanic
266,266,266,apartment,181900_194656_181041_178642,194656,SN,1.0,1,3,1,M,Hispanic
267,267,267,apartment,181900_194656_181041_178642,181041,SMC,1.0,1,3,1,F,Asian / Asian American
268,268,268,apartment,181900_194656_181041_178642,181041,SSI,1.0,1,3,1,F,Asian / Asian American
269,269,269,apartment,181900_194656_181041_178642,181041,SSI,1.0,1,3,1,F,Asian / Asian American
270,270,270,apartment,181900_194656_181041_178642,181041,SSI,1.0,1,3,1,F,Asian / Asian American
271,271,271,apartment,181900_194656_181041_178642,181041,SSI,1.0,1,3,1,F,Asian / Asian American
272,272,272,apartment,181900_194656_181041_178642,181041,CM,1.0,1,3,1,F,Asian / Asian American
273,273,273,apartment,181900_194656_181041_178642,181041,SN,1.0,1,3,1,F,Asian / Asian American
274,274,274,apartment,181900_194656_181041_178642,178642,SMC,1.0,1,3,1,F,Asian / Asian American
275,275,275,apartment,181900_194656_181041_178642,178642,SSI,1.0,1,3,1,F,Asian / Asian American
276,276,276,apartment,181900_194656_181041_178642,178642,SSI,1.0,1,3,1,F,Asian / Asian American
277,277,277,apartment,181900_194656_181041_178642,178642,CRF,1.0,1,3,1,F,Asian / Asian American
278,278,278,apartment,181900_194656_181041_178642,178642,SESU,1.0,1,3,1,F,Asian / Asian American
279,279,279,apartment,181900_194656_181041_178642,178642,SSI,1.0,1,3,1,F,Asian / Asian American
280,280,280,apartment,181900_194656_181041_178642,178642,SSI,1.0,1,3,1,F,Asian / Asian American
281,281,281,apartment,181900_194656_181041_178642,178642,SN,1.0,1,3,1,F,Asian / Asian American
